:ID,name,:LABEL,aliases,description,source
ent_0db42e312c00dbfd,difficulty falling asleep,Entity:Sleep_Symptom,difficulty falling asleep,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_822d0021b37a333a,difficulty staying asleep,Entity:Sleep_Symptom,difficulty staying asleep,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_166163965c224d23,prolonged sleep latency,Entity:Sleep_Symptom,prolonged sleep latency,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_3d2045e6e019d8aa,frequent nocturnal arousals,Entity:Sleep_Symptom,frequent nocturnal arousals,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_0169a52f4d5228dc,middle-of-the-night awakening,Entity:Sleep_Symptom,middle-of-the-night awakening,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_49c512f6d1003424,insufficient sleep,Entity:Sleep_Symptom,insufficient sleep,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_5919005985315349,chronic insomnia,Entity:Sleep_Symptom,chronic insomnia,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_64f3d7092ba743eb,acute insomnia,Entity:Sleep_Symptom,acute insomnia,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_b90257e2c16962c3,psychophysiological insomnia,Entity:Sleep_Symptom,psychophysiological insomnia,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_dec9605d973b0a02,paradoxical insomnia,Entity:Sleep_Symptom,paradoxical insomnia,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_03d6ded8aab756ce,comorbid insomnia,Entity:Sleep_Symptom,comorbid insomnia,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_7c167ebcaa4b3836,subthreshold insomnia,Entity:Sleep_Symptom,subthreshold insomnia,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_d630d821dd5c9cc2,sleep inertia,Entity:Sleep_Symptom,sleep inertia,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_abc22cf8530b2e92,morning grogginess,Entity:Sleep_Symptom,morning grogginess,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_5ce7b0f697dbd406,daytime sleepiness,Entity:Sleep_Symptom,daytime sleepiness,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_e4c0e5ac5a5aa6f6,excessive daytime sleepiness,Entity:Sleep_Symptom,"eds, excessive daytime sleepiness",Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_52526c57067428a0,hypersomnia,Entity:Sleep_Symptom,hypersomnia,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_83c04c47a0983ce6,prolonged sleep duration,Entity:Sleep_Symptom,prolonged sleep duration,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_4cb009f567f432a4,short sleep duration,Entity:Sleep_Symptom,short sleep duration,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_af479cdb36b39324,irregular sleep schedule,Entity:Sleep_Symptom,irregular sleep schedule,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_7a8033c1e883867e,social jet lag,Entity:Sleep_Symptom,social jet lag,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_0789519763b075e6,jet lag disorder,Entity:Sleep_Symptom,jet lag disorder,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_05126e1b691caa2f,shift work sleep disorder,Entity:Sleep_Symptom,shift work sleep disorder,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_013104d540a220d4,circadian misalignment,Entity:Sleep_Symptom,circadian misalignment,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_dd2e8d3665b896d1,delayed sleep phase,Entity:Sleep_Symptom,delayed sleep phase,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_ab2ac0d12ed38992,advanced sleep phase,Entity:Sleep_Symptom,advanced sleep phase,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_d41cb136c6678015,irregular sleep-wake rhythm,Entity:Sleep_Symptom,irregular sleep-wake rhythm,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_5a33daae8c45d6ca,non-24-hour sleep-wake disorder,Entity:Sleep_Symptom,non-24-hour sleep-wake disorder,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_9d4f3d34faf7b2c8,weekend catch-up sleep,Entity:Sleep_Symptom,weekend catch-up sleep,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_e0dc6e40032d307c,sleep debt,Entity:Sleep_Symptom,sleep debt,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_53daffb0134dfb6a,sleep deprivation,Entity:Sleep_Symptom,sleep deprivation,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_3f8811626ee614dd,fragmented sleep continuity,Entity:Sleep_Symptom,fragmented sleep continuity,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_f2693dcb4b81219f,reduced sleep efficiency,Entity:Sleep_Symptom,reduced sleep efficiency,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_f989ff7741f00857,increased wake after sleep onset,Entity:Sleep_Symptom,increased wake after sleep onset,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_6d0fd494c7f1c451,WASO,Entity:Sleep_Symptom,WASO,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_6e23de1b2cda746a,sleep state misperception,Entity:Sleep_Symptom,sleep state misperception,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_e6ae933004fb83eb,sleep dissatisfaction,Entity:Sleep_Symptom,sleep dissatisfaction,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_d736884429f082d9,poor sleep quality,Entity:Sleep_Symptom,poor sleep quality,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_895c17a63c1b6796,insufficient deep sleep,Entity:Sleep_Symptom,insufficient deep sleep,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_2d46aaa00ecb788f,reduced rem sleep,Entity:Sleep_Symptom,reduced rem sleep,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_5f2d76930ecd2526,increased rem density,Entity:Sleep_Symptom,increased rem density,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_2f460e0fbcf9584a,shortened rem latency,Entity:Sleep_Symptom,shortened rem latency,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_38f31e0665cfb3e9,prolonged rem latency,Entity:Sleep_Symptom,prolonged rem latency,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_640222d7c499d841,nightmare frequency,Entity:Sleep_Symptom,nightmare frequency,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_d545b4a3ccc88e79,disturbing dreams,Entity:Sleep_Symptom,disturbing dreams,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_b5af445b5a7b83b2,sleep talking,Entity:Sleep_Symptom,sleep talking,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_7120f9ee2e34822b,somniloquy,Entity:Sleep_Symptom,somniloquy,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_9b363a0971e3e474,sleepwalking,Entity:Sleep_Symptom,sleepwalking,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_9378e4225709a165,somnambulism,Entity:Sleep_Symptom,somnambulism,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_1634e6dd8054891b,confusional arousals,Entity:Sleep_Symptom,confusional arousals,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_7e912c262c3cbcca,night terrors,Entity:Sleep_Symptom,night terrors,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_bac4d02d7ec98e06,REM sleep behavior disorder,Entity:Sleep_Symptom,REM sleep behavior disorder,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_69bb81edd546a017,restless legs syndrome,Entity:Sleep_Symptom,"restless legs syndrome, rls",Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_b30961356cf3578b,periodic limb movement disorder,Entity:Sleep_Symptom,periodic limb movement disorder,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_718b3462035b9a70,bruxism during sleep,Entity:Sleep_Symptom,bruxism during sleep,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_aa769e4c188f7b12,sleep-related teeth grinding,Entity:Sleep_Symptom,sleep-related teeth grinding,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_2d1ac056acca2e72,sleep-related leg cramps,Entity:Sleep_Symptom,sleep-related leg cramps,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_d4ff8238b6112b7f,nocturia-related awakening,Entity:Sleep_Symptom,nocturia-related awakening,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_19ccdefe7159b149,pain-related awakening,Entity:Sleep_Symptom,pain-related awakening,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_39cd0c77aec14098,hot-flash awakening,Entity:Sleep_Symptom,hot-flash awakening,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_f59ead748ff0ecde,anxiety-related awakening,Entity:Sleep_Symptom,anxiety-related awakening,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_cbccfbb79f56a08d,panic awakening,Entity:Sleep_Symptom,panic awakening,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_a7a752c0dd3b6103,rumination at bedtime,Entity:Sleep_Symptom,rumination at bedtime,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_641174d64bb48c8b,bedtime worry,Entity:Sleep_Symptom,bedtime worry,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_f0bddbd7752ee432,pre-sleep cognitive arousal,Entity:Sleep_Symptom,pre-sleep cognitive arousal,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_5ce8681e39824360,pre-sleep somatic arousal,Entity:Sleep_Symptom,pre-sleep somatic arousal,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_9cffc669ce9d0791,clock watching at night,Entity:Sleep_Symptom,clock watching at night,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_72f1ff3586e00175,fear of sleeplessness,Entity:Sleep_Symptom,fear of sleeplessness,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_e8a2e899e2ae4dfd,conditioned arousal in bed,Entity:Sleep_Symptom,conditioned arousal in bed,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_949ffc90e677e4f9,hyperarousal at bedtime,Entity:Sleep_Symptom,hyperarousal at bedtime,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_bae6decbb5f3d78d,bedtime procrastination,Entity:Sleep_Symptom,bedtime procrastination,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_74826213044a48f3,inconsistent bedtime,Entity:Sleep_Symptom,inconsistent bedtime,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_ab7407698a69fcb7,inconsistent wake time,Entity:Sleep_Symptom,inconsistent wake time,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_d461316174019690,late chronotype,Entity:Sleep_Symptom,late chronotype,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_cfda9e95143670df,eveningness preference,Entity:Sleep_Symptom,eveningness preference,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_c148c0618e971c8b,morningness preference,Entity:Sleep_Symptom,morningness preference,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_65af3fe6573e8bb5,nap dependency,Entity:Sleep_Symptom,nap dependency,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_e10f51b855b0d8a8,long daytime naps,Entity:Sleep_Symptom,long daytime naps,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_9bc102a9a59dcebb,frequent daytime naps,Entity:Sleep_Symptom,frequent daytime naps,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_d04196e1e06f246d,unrefreshing naps,Entity:Sleep_Symptom,unrefreshing naps,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_46997d9147f62569,micro-sleeps,Entity:Sleep_Symptom,micro-sleeps,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_cda53a59004c2914,sleep drunkenness,Entity:Sleep_Symptom,sleep drunkenness,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_28d9ef59d77b973d,sleep paralysis,Entity:Sleep_Symptom,sleep paralysis,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_a97309c656679c8e,hypnagogic hallucinations,Entity:Sleep_Symptom,hypnagogic hallucinations,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_f61a01d4f99c80d0,hypnopompic hallucinations,Entity:Sleep_Symptom,hypnopompic hallucinations,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_56a0c6a17369e214,cataplexy-like episodes,Entity:Sleep_Symptom,cataplexy-like episodes,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_b20058f91d399fc2,snoring,Entity:Sleep_Symptom,snoring,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_acbe07a720cc5c01,witnessed apnea,Entity:Sleep_Symptom,witnessed apnea,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_187f0940543fdd0f,sleep-disordered breathing,Entity:Sleep_Symptom,sleep-disordered breathing,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_02d178042dc5469a,obstructive sleep apnea symptoms,Entity:Sleep_Symptom,obstructive sleep apnea symptoms,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_3a873f24acce4dd6,noisy breathing during sleep,Entity:Sleep_Symptom,noisy breathing during sleep,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_531289758de3c89b,mouth breathing during sleep,Entity:Sleep_Symptom,mouth breathing during sleep,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_e9f3c65df4b3d12d,dry mouth on waking,Entity:Sleep_Symptom,dry mouth on waking,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_b87f15704181effa,morning headache after sleep,Entity:Sleep_Symptom,morning headache after sleep,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_58e8c8cdfcb3ab9c,nocturnal choking sensation,Entity:Sleep_Symptom,nocturnal choking sensation,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_9c65dce869e34c17,awakening gasping for air,Entity:Sleep_Symptom,awakening gasping for air,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_2c145e6811b83540,sleep architecture disruption,Entity:Sleep_Pattern,sleep architecture disruption,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_a5f9b761aecbf817,circadian rhythm instability,Entity:Sleep_Pattern,circadian rhythm instability,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_470750d9047aba6a,phase delay pattern,Entity:Sleep_Pattern,phase delay pattern,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_3d537e862ad6a28c,phase advance pattern,Entity:Sleep_Pattern,phase advance pattern,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_2e7c570faa7837a8,bimodal sleep pattern,Entity:Sleep_Pattern,bimodal sleep pattern,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_1b1d8bb1c5b82eba,polyphasic sleep pattern,Entity:Sleep_Pattern,polyphasic sleep pattern,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_1cd3007e83728b38,monophasic sleep pattern,Entity:Sleep_Pattern,monophasic sleep pattern,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_6de5ba125485b892,weekend-weekday sleep discrepancy,Entity:Sleep_Pattern,weekend-weekday sleep discrepancy,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_0c808d64d2656bd6,reduced slow-wave sleep,Entity:Sleep_Pattern,reduced slow-wave sleep,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_026edd4d86029a2f,enhanced slow-wave sleep,Entity:Sleep_Pattern,enhanced slow-wave sleep,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_4c2993b39d4caff0,REM fragmentation,Entity:Sleep_Pattern,REM fragmentation,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_d05e79a5ff82026d,NREM fragmentation,Entity:Sleep_Pattern,NREM fragmentation,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_3f0fec7ea9791ad1,alpha intrusion during sleep,Entity:Sleep_Pattern,alpha intrusion during sleep,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_9194cd4338c13e0b,beta hyperarousal at night,Entity:Sleep_Pattern,beta hyperarousal at night,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_ab05bc18a044a310,low sleep spindle density,Entity:Sleep_Pattern,low sleep spindle density,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_6bbea73cd0fa49d3,high sleep spindle density,Entity:Sleep_Pattern,high sleep spindle density,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_d443fb245abf00ce,reduced K-complex occurrence,Entity:Sleep_Pattern,reduced K-complex occurrence,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_178c4ad65bf03ca3,frequent cortical arousals,Entity:Sleep_Pattern,frequent cortical arousals,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_3349501695850826,long wake bouts at night,Entity:Sleep_Pattern,long wake bouts at night,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_ab0e34d02d0a5d04,short sleep bouts,Entity:Sleep_Pattern,short sleep bouts,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_87c09df652826bb9,high sleep variability,Entity:Sleep_Pattern,high sleep variability,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_fa6fb0f23433c82c,low sleep regularity,Entity:Sleep_Pattern,low sleep regularity,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_081aebd12ae4ee5c,social schedule desynchrony,Entity:Sleep_Pattern,social schedule desynchrony,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_3905ec9339be33a9,light exposure at night,Entity:Sleep_Pattern,light exposure at night,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_e3aefd1926de2ec7,insufficient morning light,Entity:Sleep_Pattern,insufficient morning light,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_4cbf6ffcb0984eb8,screen-related sleep delay,Entity:Sleep_Pattern,screen-related sleep delay,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_2a093e57af8841a0,caffeine-related sleep delay,Entity:Sleep_Pattern,caffeine-related sleep delay,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_ffe1d5a7f11d0119,alcohol-related sleep disruption,Entity:Sleep_Pattern,alcohol-related sleep disruption,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_1fb878a1f254e145,stress-related sleep disruption,Entity:Sleep_Pattern,stress-related sleep disruption,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_b0b9c83793de64ca,pain-related sleep disruption,Entity:Sleep_Pattern,pain-related sleep disruption,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_c7656d007c494f0d,noise-related sleep disruption,Entity:Sleep_Pattern,noise-related sleep disruption,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_00f779b597a01aaa,temperature-related sleep disruption,Entity:Sleep_Pattern,temperature-related sleep disruption,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_dd801c3c0b53131a,environmental sleep disturbance,Entity:Sleep_Pattern,environmental sleep disturbance,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_ec704e5e62fe9dcf,caregiver sleep interruption,Entity:Sleep_Pattern,caregiver sleep interruption,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_ed851e3376f0fc08,postpartum sleep disruption,Entity:Sleep_Pattern,postpartum sleep disruption,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_0501da2f13193726,menopause-related sleep disturbance,Entity:Sleep_Pattern,menopause-related sleep disturbance,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_95e0cbbe4697cc5e,adolescent delayed phase pattern,Entity:Sleep_Pattern,adolescent delayed phase pattern,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_2ed907755c5fc0c5,older-adult early awakening pattern,Entity:Sleep_Pattern,older-adult early awakening pattern,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_5f7da33e4ed16ea4,hospital-associated sleep disruption,Entity:Sleep_Pattern,hospital-associated sleep disruption,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
