entity_id,canonical_name,entity_type,aliases_json,description,source,source_id,created_at,updated_at
ent_b06456b185ec5f0b,beck depression inventory,scale,"[""bdi"", ""beck depression inventory""]",Self-report depression scale.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_d44852bb0fd2d331,montgomery-asberg depression rating scale,scale,"[""madrs"", ""montgomery-asberg depression rating scale""]",Clinician-rated depression scale.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_8d5d23d4795bfbd6,cortisol,biomarker,"[""cortisol"", ""stress hormone""]",Hormone biomarker for stress.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_ef632ae8fa4d34ab,serotonin,biomarker,"[""5-ht"", ""serotonin""]",Neurotransmitter biomarker.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_95cc0e5c52ba7aaa,sleep staging,task,"[""sleep stage classification"", ""sleep staging""]","The process of classifying sleep into Wake, N1, N2, N3, and REM stages.",seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_489d89558dd431c5,rem sleep,sleep_stage,"[""rapid eye movement"", ""rapid eye movement sleep"", ""rem"", ""rem sleep""]","A sleep stage associated with vivid dreaming, rapid eye movements, and low muscle tone.",seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_a311694f97362b13,n1 sleep,sleep_stage,"[""light sleep"", ""n1"", ""n1 sleep"", ""stage n1""]","The lightest non-REM sleep stage, often marking the transition from wakefulness to sleep.",seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_9d7e839e3f2b793d,n2 sleep,sleep_stage,"[""n2"", ""n2 sleep"", ""stage n2""]",A stable non-REM sleep stage characterized by sleep spindles and K-complexes.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_d6133211f46f1123,n3 sleep,sleep_stage,"[""deep sleep"", ""n3"", ""n3 sleep"", ""slow wave sleep"", ""stage n3""]",Deep non-REM sleep characterized by slow waves and restorative processes.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_4657c5e99aff24cc,dreaming,sleep_symptom,"[""dream a lot"", ""dreaming"", ""frequent dreaming"", ""many dreams"", ""vivid dreams""]",Frequent or vivid dreaming reported by the subject.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_34634bfbb8e35fb8,nocturnal awakening,sleep_symptom,"[""easy to wake up"", ""frequent awakenings"", ""nocturnal awakening"", ""wake up at night"", ""waking up during the night""]",Waking up repeatedly during the night.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_6031329329a3e140,sleep fragmentation,sleep_pattern,"[""broken sleep"", ""fragmented sleep"", ""interrupted sleep"", ""sleep fragmentation""]",A disrupted sleep architecture with frequent awakenings or arousals.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_7fb346bc8fa9b27d,sleep spindle,eeg_feature,"[""sleep spindle"", ""sleep spindles""]",A hallmark EEG feature of N2 sleep.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_8f541ecc0bcbaa45,k-complex,eeg_feature,"[""k complex"", ""k-complex"", ""k-complexes""]",A hallmark EEG waveform commonly seen in N2 sleep.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_6f9479ee9e4d6b7d,slow wave,eeg_feature,"[""delta wave"", ""delta waves"", ""slow wave"", ""slow waves""]",A low-frequency high-amplitude EEG feature associated with N3 sleep.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_7a392e232e4d7306,sleep onset insomnia,sleep_symptom,"[""initial insomnia"", ""sleep onset insomnia""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_ca0246b505bb4e60,sleep maintenance insomnia,sleep_symptom,"[""middle insomnia"", ""sleep maintenance insomnia""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_f79237a2d3df3b9d,early morning awakening,sleep_symptom,"[""early morning awakening"", ""ema""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_0f03b7dcd976fdea,terminal insomnia,sleep_symptom,"[""terminal insomnia""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_12e034920da98f49,non-restorative sleep,sleep_symptom,"[""non-restorative sleep""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_b839bcce4458c6ae,restless sleep,sleep_symptom,"[""restless sleep""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_0db42e312c00dbfd,difficulty falling asleep,sleep_symptom,"[""difficulty falling asleep""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_822d0021b37a333a,difficulty staying asleep,sleep_symptom,"[""difficulty staying asleep""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_166163965c224d23,prolonged sleep latency,sleep_symptom,"[""prolonged sleep latency""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_3d2045e6e019d8aa,frequent nocturnal arousals,sleep_symptom,"[""frequent nocturnal arousals""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_0169a52f4d5228dc,middle-of-the-night awakening,sleep_symptom,"[""middle-of-the-night awakening""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_49c512f6d1003424,insufficient sleep,sleep_symptom,"[""insufficient sleep""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_5919005985315349,chronic insomnia,sleep_symptom,"[""chronic insomnia""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_64f3d7092ba743eb,acute insomnia,sleep_symptom,"[""acute insomnia""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_b90257e2c16962c3,psychophysiological insomnia,sleep_symptom,"[""psychophysiological insomnia""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_dec9605d973b0a02,paradoxical insomnia,sleep_symptom,"[""paradoxical insomnia""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_03d6ded8aab756ce,comorbid insomnia,sleep_symptom,"[""comorbid insomnia""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_7c167ebcaa4b3836,subthreshold insomnia,sleep_symptom,"[""subthreshold insomnia""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_d630d821dd5c9cc2,sleep inertia,sleep_symptom,"[""sleep inertia""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_abc22cf8530b2e92,morning grogginess,sleep_symptom,"[""morning grogginess""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_5ce7b0f697dbd406,daytime sleepiness,sleep_symptom,"[""daytime sleepiness""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_e4c0e5ac5a5aa6f6,excessive daytime sleepiness,sleep_symptom,"[""eds"", ""excessive daytime sleepiness""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_52526c57067428a0,hypersomnia,sleep_symptom,"[""hypersomnia""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_83c04c47a0983ce6,prolonged sleep duration,sleep_symptom,"[""prolonged sleep duration""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_4cb009f567f432a4,short sleep duration,sleep_symptom,"[""short sleep duration""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_af479cdb36b39324,irregular sleep schedule,sleep_symptom,"[""irregular sleep schedule""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_7a8033c1e883867e,social jet lag,sleep_symptom,"[""social jet lag""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_0789519763b075e6,jet lag disorder,sleep_symptom,"[""jet lag disorder""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_05126e1b691caa2f,shift work sleep disorder,sleep_symptom,"[""shift work sleep disorder""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_013104d540a220d4,circadian misalignment,sleep_symptom,"[""circadian misalignment""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_dd2e8d3665b896d1,delayed sleep phase,sleep_symptom,"[""delayed sleep phase""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_ab2ac0d12ed38992,advanced sleep phase,sleep_symptom,"[""advanced sleep phase""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_d41cb136c6678015,irregular sleep-wake rhythm,sleep_symptom,"[""irregular sleep-wake rhythm""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_5a33daae8c45d6ca,non-24-hour sleep-wake disorder,sleep_symptom,"[""non-24-hour sleep-wake disorder""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_9d4f3d34faf7b2c8,weekend catch-up sleep,sleep_symptom,"[""weekend catch-up sleep""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_e0dc6e40032d307c,sleep debt,sleep_symptom,"[""sleep debt""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_53daffb0134dfb6a,sleep deprivation,sleep_symptom,"[""sleep deprivation""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_3f8811626ee614dd,fragmented sleep continuity,sleep_symptom,"[""fragmented sleep continuity""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_f2693dcb4b81219f,reduced sleep efficiency,sleep_symptom,"[""reduced sleep efficiency""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_f989ff7741f00857,increased wake after sleep onset,sleep_symptom,"[""increased wake after sleep onset""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_6d0fd494c7f1c451,WASO,sleep_symptom,"[""WASO""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_6e23de1b2cda746a,sleep state misperception,sleep_symptom,"[""sleep state misperception""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_e6ae933004fb83eb,sleep dissatisfaction,sleep_symptom,"[""sleep dissatisfaction""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_d736884429f082d9,poor sleep quality,sleep_symptom,"[""poor sleep quality""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_895c17a63c1b6796,insufficient deep sleep,sleep_symptom,"[""insufficient deep sleep""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_2d46aaa00ecb788f,reduced rem sleep,sleep_symptom,"[""reduced rem sleep""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_5f2d76930ecd2526,increased rem density,sleep_symptom,"[""increased rem density""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_2f460e0fbcf9584a,shortened rem latency,sleep_symptom,"[""shortened rem latency""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_38f31e0665cfb3e9,prolonged rem latency,sleep_symptom,"[""prolonged rem latency""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_640222d7c499d841,nightmare frequency,sleep_symptom,"[""nightmare frequency""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_d545b4a3ccc88e79,disturbing dreams,sleep_symptom,"[""disturbing dreams""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_b5af445b5a7b83b2,sleep talking,sleep_symptom,"[""sleep talking""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_7120f9ee2e34822b,somniloquy,sleep_symptom,"[""somniloquy""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_9b363a0971e3e474,sleepwalking,sleep_symptom,"[""sleepwalking""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_9378e4225709a165,somnambulism,sleep_symptom,"[""somnambulism""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_1634e6dd8054891b,confusional arousals,sleep_symptom,"[""confusional arousals""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_7e912c262c3cbcca,night terrors,sleep_symptom,"[""night terrors""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_bac4d02d7ec98e06,REM sleep behavior disorder,sleep_symptom,"[""REM sleep behavior disorder""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_69bb81edd546a017,restless legs syndrome,sleep_symptom,"[""restless legs syndrome"", ""rls""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_b30961356cf3578b,periodic limb movement disorder,sleep_symptom,"[""periodic limb movement disorder""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_718b3462035b9a70,bruxism during sleep,sleep_symptom,"[""bruxism during sleep""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_aa769e4c188f7b12,sleep-related teeth grinding,sleep_symptom,"[""sleep-related teeth grinding""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_2d1ac056acca2e72,sleep-related leg cramps,sleep_symptom,"[""sleep-related leg cramps""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_d4ff8238b6112b7f,nocturia-related awakening,sleep_symptom,"[""nocturia-related awakening""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_19ccdefe7159b149,pain-related awakening,sleep_symptom,"[""pain-related awakening""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_39cd0c77aec14098,hot-flash awakening,sleep_symptom,"[""hot-flash awakening""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_f59ead748ff0ecde,anxiety-related awakening,sleep_symptom,"[""anxiety-related awakening""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_cbccfbb79f56a08d,panic awakening,sleep_symptom,"[""panic awakening""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_a7a752c0dd3b6103,rumination at bedtime,sleep_symptom,"[""rumination at bedtime""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_641174d64bb48c8b,bedtime worry,sleep_symptom,"[""bedtime worry""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_f0bddbd7752ee432,pre-sleep cognitive arousal,sleep_symptom,"[""pre-sleep cognitive arousal""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_5ce8681e39824360,pre-sleep somatic arousal,sleep_symptom,"[""pre-sleep somatic arousal""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_9cffc669ce9d0791,clock watching at night,sleep_symptom,"[""clock watching at night""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_72f1ff3586e00175,fear of sleeplessness,sleep_symptom,"[""fear of sleeplessness""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_e8a2e899e2ae4dfd,conditioned arousal in bed,sleep_symptom,"[""conditioned arousal in bed""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_949ffc90e677e4f9,hyperarousal at bedtime,sleep_symptom,"[""hyperarousal at bedtime""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_bae6decbb5f3d78d,bedtime procrastination,sleep_symptom,"[""bedtime procrastination""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_74826213044a48f3,inconsistent bedtime,sleep_symptom,"[""inconsistent bedtime""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_ab7407698a69fcb7,inconsistent wake time,sleep_symptom,"[""inconsistent wake time""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_d461316174019690,late chronotype,sleep_symptom,"[""late chronotype""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
