relation_id,head_entity_id,relation_type,tail_entity_id,evidence_text,source,source_id,confidence,created_at
rel_ed955c9debf7311f,ent_9a51bf8a0d073c82,treats,D003865,"Transcranial magnetic stimulation (TMS) is an established treatment option for major depressive disorder (MDD) but is currently limited to clinical settings such as hospitals or doctors' offices. Technical and logistical challenges have so far prevented its application in patients' homes. In this pilot study, five outpatients with MDD (aged 29-65 years), living up to 120 km from a tertiary care hospital (Regensburg, Germany), received home-based TMS treatment using an accelerated intermittent th",pubmed,41908122,0.78,2026-04-09T08:21:54+00:00
rel_0219597c342b3ba6,D003866,measured_by,SC000002,"Melatonin, a key regulator of circadian rhythms and sleep-wake cycles, is implicated in the pathophysiology of major depressive disorder (MDD). Emerging evidence supports its anti-inflammatory, cytoprotective, and neuroprotective roles, including promotion of neuroplasticity. This study aims to investigate alterations in serum melatonin, interleukin-6 (IL-6), and brain-derived neurotrophic factor (BDNF) levels in first-episode MDD patients, and explores their clinical correlations. A total of 74",pubmed,41906159,0.7,2026-04-09T08:21:54+00:00
rel_1147587f8c7f41d8,D003865,measured_by,SC000002,"Melatonin, a key regulator of circadian rhythms and sleep-wake cycles, is implicated in the pathophysiology of major depressive disorder (MDD). Emerging evidence supports its anti-inflammatory, cytoprotective, and neuroprotective roles, including promotion of neuroplasticity. This study aims to investigate alterations in serum melatonin, interleukin-6 (IL-6), and brain-derived neurotrophic factor (BDNF) levels in first-episode MDD patients, and explores their clinical correlations. A total of 74",pubmed,41906159,0.7,2026-04-09T08:21:54+00:00
rel_caa3b95731ead5f0,D003866,has_symptom,ent_d3dc69905ee167d9,"Major depressive disorder (MDD) is closely linked to suicidal ideation (SI), which has been associated with cognitive dysfunction and abnormal brain network connectivity. However, the relationships among SI, cognitive functioning, and large-scale brain dynamics in MDD remain unclear. Resting-state EEG microstate analysis provides a novel method for exploring these associations by capturing transient global brain activity patterns. Eighty-eight drug-naïve, first-episode MDD patients were divided ",pubmed,41257797,0.75,2026-04-09T08:21:54+00:00
rel_b43905f0da3a3da9,D003866,related_to,BM000001,"Major depressive disorder (MDD) is closely linked to suicidal ideation (SI), which has been associated with cognitive dysfunction and abnormal brain network connectivity. However, the relationships among SI, cognitive functioning, and large-scale brain dynamics in MDD remain unclear. Resting-state EEG microstate analysis provides a novel method for exploring these associations by capturing transient global brain activity patterns. Eighty-eight drug-naïve, first-episode MDD patients were divided ",pubmed,41257797,0.67,2026-04-09T08:21:54+00:00
rel_ab9f56f6b8627d0f,D003865,has_symptom,ent_d3dc69905ee167d9,"Major depressive disorder (MDD) is closely linked to suicidal ideation (SI), which has been associated with cognitive dysfunction and abnormal brain network connectivity. However, the relationships among SI, cognitive functioning, and large-scale brain dynamics in MDD remain unclear. Resting-state EEG microstate analysis provides a novel method for exploring these associations by capturing transient global brain activity patterns. Eighty-eight drug-naïve, first-episode MDD patients were divided ",pubmed,41257797,0.75,2026-04-09T08:21:54+00:00
rel_6bc7576be2bc1b96,D003865,related_to,BM000001,"Major depressive disorder (MDD) is closely linked to suicidal ideation (SI), which has been associated with cognitive dysfunction and abnormal brain network connectivity. However, the relationships among SI, cognitive functioning, and large-scale brain dynamics in MDD remain unclear. Resting-state EEG microstate analysis provides a novel method for exploring these associations by capturing transient global brain activity patterns. Eighty-eight drug-naïve, first-episode MDD patients were divided ",pubmed,41257797,0.67,2026-04-09T08:21:54+00:00
rel_82568b75fdeab3ea,D003866,related_to,BM000001,"Electroencephalography (EEG) has proven to be effective for detecting major depressive disorder (MDD), with deep learning models further advancing its potential. However, the performance of these models may be limited by their neglect of demographic factors (e.g., age, sex, and education), which are known to influence EEG characteristics of depression. To address this, we propose DIFNet, a deep learning framework that dynamically fuses EEG features with demographic indicators (age, sex, and year",pubmed,41228772,0.67,2026-04-09T08:21:54+00:00
rel_e5b85c24601bdd4f,D003865,related_to,BM000001,"Electroencephalography (EEG) has proven to be effective for detecting major depressive disorder (MDD), with deep learning models further advancing its potential. However, the performance of these models may be limited by their neglect of demographic factors (e.g., age, sex, and education), which are known to influence EEG characteristics of depression. To address this, we propose DIFNet, a deep learning framework that dynamically fuses EEG features with demographic indicators (age, sex, and year",pubmed,41228772,0.67,2026-04-09T08:21:54+00:00
rel_522d1279b821ce85,ent_3c34679de46ddbcc,has_risk_factor,R0000001,"This study aims to examine the relationships among premenstrual syndrome (PMS), fear of childbirth (FOC), and postpartum depression (PPD) in postpartum women, and to test whether FOC mediates the association between PMS and PPD. This multicenter cross-sectional study uses convenience sampling to recruit 815 postpartum women attending their 42-day postpartum check-up at Affiliated Hospital of Nantong University, Nantong First People's Hospital, and Nantong Maternal and Child Health Hospital from ",pubmed,41723340,0.72,2026-04-09T08:21:54+00:00
rel_f8339c1cd0497366,D003866,has_risk_factor,ent_f641feb1798ec047,"This perspective synthesises current evidence on the association between soft drink consumption and depression, with emphasis on the gut microbiome as a potential mediating mechanism. PubMed, Scopus, and Google Scholar were searched using the following terms: 'soft drinks', 'sugar-sweetened beverages', 'carbonated beverages', 'soda', 'depression', 'depressive symptoms', 'mental health', 'gut microbiome', 'microbiota', and 'gut-brain axis'. Peer-reviewed original articles published in English bet",pubmed,41916943,0.72,2026-04-10T10:40:24+00:00
rel_a2c9702c5062ed4d,D003865,has_risk_factor,ent_f641feb1798ec047,"This perspective synthesises current evidence on the association between soft drink consumption and depression, with emphasis on the gut microbiome as a potential mediating mechanism. PubMed, Scopus, and Google Scholar were searched using the following terms: 'soft drinks', 'sugar-sweetened beverages', 'carbonated beverages', 'soda', 'depression', 'depressive symptoms', 'mental health', 'gut microbiome', 'microbiota', and 'gut-brain axis'. Peer-reviewed original articles published in English bet",pubmed,41916943,0.72,2026-04-10T10:40:24+00:00
rel_a8703ff720c14baa,ent_049faf9d625da6f4,treats,D003866,"We review the literature regarding repurposed medications for major depressive disorder (MDD). Preclinical and clinical research on repurposed medications for MDD was reviewed, including agents that modulate the dopaminergic, glutamatergic, and GABAergic systems; enhance neurotrophic signalling; and reduce neuroinflammation, as well as nutraceuticals. Telmisartan, statins, celecoxib, valproic acid, pregabalin, metformin, pioglitazone, ketamine, dextromethorphan-bupropion, aripiprazole, and modaf",pubmed,41916942,0.8,2026-04-10T10:40:24+00:00
rel_86cfafbf5ea56b2e,ent_049faf9d625da6f4,treats,D003865,"We review the literature regarding repurposed medications for major depressive disorder (MDD). Preclinical and clinical research on repurposed medications for MDD was reviewed, including agents that modulate the dopaminergic, glutamatergic, and GABAergic systems; enhance neurotrophic signalling; and reduce neuroinflammation, as well as nutraceuticals. Telmisartan, statins, celecoxib, valproic acid, pregabalin, metformin, pioglitazone, ketamine, dextromethorphan-bupropion, aripiprazole, and modaf",pubmed,41916942,0.8,2026-04-10T10:40:24+00:00
rel_ca28a38d2c7aeb86,ent_2358a9d9c825264e,treats,D003866,"Early real-world activity changes after starting antidepressants are not well described. This study aimed to quantify short-term changes in daily ambulatory activity around antidepressant initiation using wearables. We analyzed the All of Us Research Program CDR v8 (data cutoff October 1, 2023). Adults with incident major depressive disorder and a first antidepressant (ATC N06A) record within 90 days were included. Prior-year antidepressant use and history of schizophrenia or bipolar disorder we",pubmed,41916508,0.78,2026-04-10T10:40:24+00:00
rel_c112e8ac1604d1ae,ent_2358a9d9c825264e,treats,D003865,"Early real-world activity changes after starting antidepressants are not well described. This study aimed to quantify short-term changes in daily ambulatory activity around antidepressant initiation using wearables. We analyzed the All of Us Research Program CDR v8 (data cutoff October 1, 2023). Adults with incident major depressive disorder and a first antidepressant (ATC N06A) record within 90 days were included. Prior-year antidepressant use and history of schizophrenia or bipolar disorder we",pubmed,41916508,0.78,2026-04-10T10:40:24+00:00
rel_425143bb527742f7,ent_2358a9d9c825264e,treats,ent_019d439be2c7e49a,"Early real-world activity changes after starting antidepressants are not well described. This study aimed to quantify short-term changes in daily ambulatory activity around antidepressant initiation using wearables. We analyzed the All of Us Research Program CDR v8 (data cutoff October 1, 2023). Adults with incident major depressive disorder and a first antidepressant (ATC N06A) record within 90 days were included. Prior-year antidepressant use and history of schizophrenia or bipolar disorder we",pubmed,41916508,0.78,2026-04-10T10:40:24+00:00
rel_6c272377ab1ee6fb,ent_9a51bf8a0d073c82,treats,D003866,"Transcranial magnetic stimulation (TMS) is a noninvasive brain stimulation technique that uses magnetic pulses to safely modulate neural activity in specific brain regions, with particular use in the treatment of major depressive disorder. However, effective treatment protocols require multiple sessions over time and accurate targeting. Current neuronavigation systems can improve pulse delivery compared to standard scalp and measuring tape methods, but are costly and have time-intensive setups f",pubmed,41915491,0.78,2026-04-10T10:40:24+00:00
rel_3c38cf061f919360,ent_9a51bf8a0d073c82,treats,D003865,"Transcranial magnetic stimulation (TMS) is a noninvasive brain stimulation technique that uses magnetic pulses to safely modulate neural activity in specific brain regions, with particular use in the treatment of major depressive disorder. However, effective treatment protocols require multiple sessions over time and accurate targeting. Current neuronavigation systems can improve pulse delivery compared to standard scalp and measuring tape methods, but are costly and have time-intensive setups f",pubmed,41915491,0.78,2026-04-10T10:40:24+00:00
rel_0a40162fdbb8dea1,D003866,associated_with,ent_83eb6ef7367a927d,"Transcranial magnetic stimulation (TMS) is a noninvasive brain stimulation technique that uses magnetic pulses to safely modulate neural activity in specific brain regions, with particular use in the treatment of major depressive disorder. However, effective treatment protocols require multiple sessions over time and accurate targeting. Current neuronavigation systems can improve pulse delivery compared to standard scalp and measuring tape methods, but are costly and have time-intensive setups f",pubmed,41915491,0.73,2026-04-10T10:40:24+00:00
rel_a9749d03553e8a9d,D003865,associated_with,ent_83eb6ef7367a927d,"Transcranial magnetic stimulation (TMS) is a noninvasive brain stimulation technique that uses magnetic pulses to safely modulate neural activity in specific brain regions, with particular use in the treatment of major depressive disorder. However, effective treatment protocols require multiple sessions over time and accurate targeting. Current neuronavigation systems can improve pulse delivery compared to standard scalp and measuring tape methods, but are costly and have time-intensive setups f",pubmed,41915491,0.73,2026-04-10T10:40:24+00:00
rel_b7210fa9c8165b22,D003866,has_symptom,S0000003,"Understanding factors contributing to allergy-related airway diseases (AADs). We conducted a meta-analysis of Mendelian randomization (MR) estimates from multi-biobank to investigate the effects of 83 common factors on asthma, allergic rhinitis (AR), chronic rhinosinusitis (CRS), and nasal polyps (NPs). Data for AADs were obtained from multiple independent populations including FinnGen, UK Biobank and large consortia (asthma, 137,498 cases and 1,009,466 controls; AR, 51,712 cases and 592,784 con",pubmed,41914530,0.75,2026-04-10T10:40:24+00:00
rel_4d6a8778c69c4c8d,D003866,has_risk_factor,R0000001,"Understanding factors contributing to allergy-related airway diseases (AADs). We conducted a meta-analysis of Mendelian randomization (MR) estimates from multi-biobank to investigate the effects of 83 common factors on asthma, allergic rhinitis (AR), chronic rhinosinusitis (CRS), and nasal polyps (NPs). Data for AADs were obtained from multiple independent populations including FinnGen, UK Biobank and large consortia (asthma, 137,498 cases and 1,009,466 controls; AR, 51,712 cases and 592,784 con",pubmed,41914530,0.72,2026-04-10T10:40:24+00:00
rel_2fd172bb902af728,D003866,has_risk_factor,R0000002,"Understanding factors contributing to allergy-related airway diseases (AADs). We conducted a meta-analysis of Mendelian randomization (MR) estimates from multi-biobank to investigate the effects of 83 common factors on asthma, allergic rhinitis (AR), chronic rhinosinusitis (CRS), and nasal polyps (NPs). Data for AADs were obtained from multiple independent populations including FinnGen, UK Biobank and large consortia (asthma, 137,498 cases and 1,009,466 controls; AR, 51,712 cases and 592,784 con",pubmed,41914530,0.72,2026-04-10T10:40:24+00:00
rel_bde3a7fdad516593,D003866,has_risk_factor,ent_91664903f0b1a126,"Understanding factors contributing to allergy-related airway diseases (AADs). We conducted a meta-analysis of Mendelian randomization (MR) estimates from multi-biobank to investigate the effects of 83 common factors on asthma, allergic rhinitis (AR), chronic rhinosinusitis (CRS), and nasal polyps (NPs). Data for AADs were obtained from multiple independent populations including FinnGen, UK Biobank and large consortia (asthma, 137,498 cases and 1,009,466 controls; AR, 51,712 cases and 592,784 con",pubmed,41914530,0.72,2026-04-10T10:40:24+00:00
rel_b3dc6496c135dab7,D003865,has_symptom,S0000003,"Understanding factors contributing to allergy-related airway diseases (AADs). We conducted a meta-analysis of Mendelian randomization (MR) estimates from multi-biobank to investigate the effects of 83 common factors on asthma, allergic rhinitis (AR), chronic rhinosinusitis (CRS), and nasal polyps (NPs). Data for AADs were obtained from multiple independent populations including FinnGen, UK Biobank and large consortia (asthma, 137,498 cases and 1,009,466 controls; AR, 51,712 cases and 592,784 con",pubmed,41914530,0.75,2026-04-10T10:40:24+00:00
rel_6ea8b64ebec1f2fb,D003865,has_risk_factor,R0000001,"Understanding factors contributing to allergy-related airway diseases (AADs). We conducted a meta-analysis of Mendelian randomization (MR) estimates from multi-biobank to investigate the effects of 83 common factors on asthma, allergic rhinitis (AR), chronic rhinosinusitis (CRS), and nasal polyps (NPs). Data for AADs were obtained from multiple independent populations including FinnGen, UK Biobank and large consortia (asthma, 137,498 cases and 1,009,466 controls; AR, 51,712 cases and 592,784 con",pubmed,41914530,0.72,2026-04-10T10:40:24+00:00
rel_356a9b1e57bbe1a6,D003865,has_risk_factor,R0000002,"Understanding factors contributing to allergy-related airway diseases (AADs). We conducted a meta-analysis of Mendelian randomization (MR) estimates from multi-biobank to investigate the effects of 83 common factors on asthma, allergic rhinitis (AR), chronic rhinosinusitis (CRS), and nasal polyps (NPs). Data for AADs were obtained from multiple independent populations including FinnGen, UK Biobank and large consortia (asthma, 137,498 cases and 1,009,466 controls; AR, 51,712 cases and 592,784 con",pubmed,41914530,0.72,2026-04-10T10:40:24+00:00
rel_3d9a87c724c009e2,D003865,has_risk_factor,ent_91664903f0b1a126,"Understanding factors contributing to allergy-related airway diseases (AADs). We conducted a meta-analysis of Mendelian randomization (MR) estimates from multi-biobank to investigate the effects of 83 common factors on asthma, allergic rhinitis (AR), chronic rhinosinusitis (CRS), and nasal polyps (NPs). Data for AADs were obtained from multiple independent populations including FinnGen, UK Biobank and large consortia (asthma, 137,498 cases and 1,009,466 controls; AR, 51,712 cases and 592,784 con",pubmed,41914530,0.72,2026-04-10T10:40:24+00:00
rel_acf79c53dd3046db,D003866,associated_with,ent_3cdb9c706d83c19b,"Understanding factors contributing to allergy-related airway diseases (AADs). We conducted a meta-analysis of Mendelian randomization (MR) estimates from multi-biobank to investigate the effects of 83 common factors on asthma, allergic rhinitis (AR), chronic rhinosinusitis (CRS), and nasal polyps (NPs). Data for AADs were obtained from multiple independent populations including FinnGen, UK Biobank and large consortia (asthma, 137,498 cases and 1,009,466 controls; AR, 51,712 cases and 592,784 con",pubmed,41914530,0.73,2026-04-10T10:40:24+00:00
rel_37c403d23a3377b2,D003865,associated_with,ent_3cdb9c706d83c19b,"Understanding factors contributing to allergy-related airway diseases (AADs). We conducted a meta-analysis of Mendelian randomization (MR) estimates from multi-biobank to investigate the effects of 83 common factors on asthma, allergic rhinitis (AR), chronic rhinosinusitis (CRS), and nasal polyps (NPs). Data for AADs were obtained from multiple independent populations including FinnGen, UK Biobank and large consortia (asthma, 137,498 cases and 1,009,466 controls; AR, 51,712 cases and 592,784 con",pubmed,41914530,0.73,2026-04-10T10:40:24+00:00
rel_73f6c93ef96a3c2d,S0000003,associated_with,ent_3cdb9c706d83c19b,"Understanding factors contributing to allergy-related airway diseases (AADs). We conducted a meta-analysis of Mendelian randomization (MR) estimates from multi-biobank to investigate the effects of 83 common factors on asthma, allergic rhinitis (AR), chronic rhinosinusitis (CRS), and nasal polyps (NPs). Data for AADs were obtained from multiple independent populations including FinnGen, UK Biobank and large consortia (asthma, 137,498 cases and 1,009,466 controls; AR, 51,712 cases and 592,784 con",pubmed,41914530,0.71,2026-04-10T10:40:24+00:00
rel_431f813e1f553184,D003865,has_risk_factor,R0000001,"Neuronal growth regulator 1 (NEGR1) is an IgLON cell adhesion molecule significantly associated with depression risk in genome-wide association studies. Since the role of NEGR1 in depression pathophysiology remains incompletely understood, we investigated changes in NEGR1-associated gene expression levels in stress-susceptible male mice exposed to chronic restraint stress. Mice were subjected to 21 consecutive days of restraint stress, and stress-induced maladaptive phenotypes were evaluated by ",pubmed,41914288,0.72,2026-04-10T10:40:24+00:00
rel_c57ffd2724471717,D003865,has_risk_factor,R0000003,"Neuronal growth regulator 1 (NEGR1) is an IgLON cell adhesion molecule significantly associated with depression risk in genome-wide association studies. Since the role of NEGR1 in depression pathophysiology remains incompletely understood, we investigated changes in NEGR1-associated gene expression levels in stress-susceptible male mice exposed to chronic restraint stress. Mice were subjected to 21 consecutive days of restraint stress, and stress-induced maladaptive phenotypes were evaluated by ",pubmed,41914288,0.72,2026-04-10T10:40:24+00:00
rel_b8f1b18f2a3073e2,D003866,associated_with,ent_8dd0a18747c4436e,"This study aimed to compare adolescents diagnosed with major depressive disorder (MDD) and healthy peers in terms of self-esteem, life satisfaction, executive functions, and cognitive flexibility. The study included 76 adolescents aged 12-18 years (38 with MDD, 38 healthy controls) who completed a standardized assessments: the Rosenberg Self-Esteem Scale, Life Satisfaction Scale, Cognitive Flexibility Scale and the Serial Digit Learning Test (SDLT). Depression severity was measured using the Chi",pubmed,41914189,0.73,2026-04-10T10:40:24+00:00
rel_d6b976caeb711e0e,D003865,associated_with,ent_8dd0a18747c4436e,"This study aimed to compare adolescents diagnosed with major depressive disorder (MDD) and healthy peers in terms of self-esteem, life satisfaction, executive functions, and cognitive flexibility. The study included 76 adolescents aged 12-18 years (38 with MDD, 38 healthy controls) who completed a standardized assessments: the Rosenberg Self-Esteem Scale, Life Satisfaction Scale, Cognitive Flexibility Scale and the Serial Digit Learning Test (SDLT). Depression severity was measured using the Chi",pubmed,41914189,0.73,2026-04-10T10:40:24+00:00
rel_6efbb9baa6a09787,D003866,related_to,BM000001,"Affective flexibility deficits in Major Depressive Disorder (MDD) are hypothesized to reflect valence-specific impairments in shifting between emotional and non-emotional processing. However, the underlying neurophysiological mechanisms remain poorly understood. Twenty-nine individuals with MDD and twenty-nine healthy controls (HCs) completed a modified Affective Switching Task (AST) requiring rapid alternation between judging emotional valence (positive/negative) and counting human figures, whi",pubmed,41274014,0.67,2026-04-10T10:40:24+00:00
rel_af1449417945c1e0,D003865,related_to,BM000001,"Affective flexibility deficits in Major Depressive Disorder (MDD) are hypothesized to reflect valence-specific impairments in shifting between emotional and non-emotional processing. However, the underlying neurophysiological mechanisms remain poorly understood. Twenty-nine individuals with MDD and twenty-nine healthy controls (HCs) completed a modified Affective Switching Task (AST) requiring rapid alternation between judging emotional valence (positive/negative) and counting human figures, whi",pubmed,41274014,0.67,2026-04-10T10:40:24+00:00
rel_30697d17fdee4214,D003866,related_to,BM000001,"Repetitive transcranial magnetic stimulation (rTMS) is an effective treatment for major depressive disorder (MDD), but clinical response varies significantly among individuals. Consequently, neuroimaging and electrophysiology studies are increasingly focused on identifying biomarkers to predict outcomes. Individual alpha peak frequency (iAF), reflecting the dominant oscillation of alpha-generating neural circuits, has shown promise as a predictive biomarker for 10 Hz rTMS due to its reliability ",pubmed,41259906,0.67,2026-04-10T10:40:24+00:00
rel_b68ca861fd039cc5,D003865,related_to,BM000001,"Repetitive transcranial magnetic stimulation (rTMS) is an effective treatment for major depressive disorder (MDD), but clinical response varies significantly among individuals. Consequently, neuroimaging and electrophysiology studies are increasingly focused on identifying biomarkers to predict outcomes. Individual alpha peak frequency (iAF), reflecting the dominant oscillation of alpha-generating neural circuits, has shown promise as a predictive biomarker for 10 Hz rTMS due to its reliability ",pubmed,41259906,0.67,2026-04-10T10:40:24+00:00
rel_a85f070c52ce59c8,ent_9a51bf8a0d073c82,treats,D003866,"Repetitive transcranial magnetic stimulation (rTMS) is an effective treatment for major depressive disorder (MDD), but clinical response varies significantly among individuals. Consequently, neuroimaging and electrophysiology studies are increasingly focused on identifying biomarkers to predict outcomes. Individual alpha peak frequency (iAF), reflecting the dominant oscillation of alpha-generating neural circuits, has shown promise as a predictive biomarker for 10 Hz rTMS due to its reliability ",pubmed,41259906,0.78,2026-04-10T10:40:24+00:00
rel_c67a3c589c0091a1,ent_9a51bf8a0d073c82,treats,D003865,"Repetitive transcranial magnetic stimulation (rTMS) is an effective treatment for major depressive disorder (MDD), but clinical response varies significantly among individuals. Consequently, neuroimaging and electrophysiology studies are increasingly focused on identifying biomarkers to predict outcomes. Individual alpha peak frequency (iAF), reflecting the dominant oscillation of alpha-generating neural circuits, has shown promise as a predictive biomarker for 10 Hz rTMS due to its reliability ",pubmed,41259906,0.78,2026-04-10T10:40:24+00:00
rel_92de46ce4ac1aa76,D003866,has_risk_factor,R0000001,"Treatment-resistant depression (TRD), defined by unsuccessful response to multiple antidepressants, affects approximately one-third of individuals with major depressive disorder, yet its underlying molecular mechanisms remain poorly understood. Here, we developed a preclinical model of TRD in which mice exposed to chronic social defeat stress were sequentially treated with fluoxetine (FLX) and ketamine (KET), allowing behavioral stratification into antidepressant responsive and non-responsive mi",pubmed,41731115,0.72,2026-04-10T10:40:24+00:00
rel_0d68adbe8900dc5c,D003865,has_risk_factor,R0000001,"Treatment-resistant depression (TRD), defined by unsuccessful response to multiple antidepressants, affects approximately one-third of individuals with major depressive disorder, yet its underlying molecular mechanisms remain poorly understood. Here, we developed a preclinical model of TRD in which mice exposed to chronic social defeat stress were sequentially treated with fluoxetine (FLX) and ketamine (KET), allowing behavioral stratification into antidepressant responsive and non-responsive mi",pubmed,41731115,0.72,2026-04-10T10:40:24+00:00
rel_696b42727cc158d4,D0000001,has_risk_factor,R0000001,"Treatment-resistant depression (TRD), defined by unsuccessful response to multiple antidepressants, affects approximately one-third of individuals with major depressive disorder, yet its underlying molecular mechanisms remain poorly understood. Here, we developed a preclinical model of TRD in which mice exposed to chronic social defeat stress were sequentially treated with fluoxetine (FLX) and ketamine (KET), allowing behavioral stratification into antidepressant responsive and non-responsive mi",pubmed,41731115,0.72,2026-04-10T10:40:24+00:00
rel_72c0cfcd01f2a819,DR000001,treats,D003866,"Treatment-resistant depression (TRD), defined by unsuccessful response to multiple antidepressants, affects approximately one-third of individuals with major depressive disorder, yet its underlying molecular mechanisms remain poorly understood. Here, we developed a preclinical model of TRD in which mice exposed to chronic social defeat stress were sequentially treated with fluoxetine (FLX) and ketamine (KET), allowing behavioral stratification into antidepressant responsive and non-responsive mi",pubmed,41731115,0.8,2026-04-10T10:40:24+00:00
